"Notes"	"Month Day, Year"	"Month Day, Year Code"	Avg Daily Max Air Temperature (F)	Avg Daily Min Air Temperature (F)	Avg Daily Max Heat Index (F)
	"Aug 29, 1979"	"1979/08/29"	92.70	71.65	95.69
	"Aug 30, 1979"	"1979/08/30"	92.09	73.61	95.93
	"Aug 31, 1979"	"1979/08/31"	93.43	75.38	97.42
	"Sep 01, 1979"	"1979/09/01"	94.84	73.89	98.46
	"Sep 02, 1979"	"1979/09/02"	94.44	74.10	97.62
	"Sep 03, 1979"	"1979/09/03"	92.74	74.58	95.43
	"Sep 04, 1979"	"1979/09/04"	90.58	73.99	93.23
	"Sep 05, 1979"	"1979/09/05"	92.50	73.82	95.00
	"Sep 06, 1979"	"1979/09/06"	93.31	74.32	95.25
	"Sep 07, 1979"	"1979/09/07"	90.60	73.99	92.28
	"Sep 08, 1979"	"1979/09/08"	89.87	71.39	91.36
	"Sep 09, 1979"	"1979/09/09"	89.64	67.86	89.20
	"Sep 10, 1979"	"1979/09/10"	89.09	65.20	88.02
	"Sep 11, 1979"	"1979/09/11"	88.80	66.58	88.09
	"Sep 12, 1979"	"1979/09/12"	88.33	68.78	87.43
	"Sep 13, 1979"	"1979/09/13"	87.52	67.19	88.10
	"Sep 14, 1979"	"1979/09/14"	81.24	61.88	85.43
	"Sep 15, 1979"	"1979/09/15"	75.93	56.81	81.25
	"Sep 16, 1979"	"1979/09/16"	76.06	57.73	80.80
	"Sep 17, 1979"	"1979/09/17"	80.39	58.52	83.47
	"Sep 18, 1979"	"1979/09/18"	76.07	62.67	81.54
	"Sep 19, 1979"	"1979/09/19"	77.78	62.87	81.69
	"Sep 20, 1979"	"1979/09/20"	82.14	60.62	84.61
	"Sep 21, 1979"	"1979/09/21"	84.02	64.08	84.63
	"Sep 22, 1979"	"1979/09/22"	86.43	63.28	85.33
	"Sep 23, 1979"	"1979/09/23"	88.88	64.18	87.39
	"Sep 24, 1979"	"1979/09/24"	89.95	63.74	88.50
	"Sep 25, 1979"	"1979/09/25"	88.76	64.04	86.71
	"Sep 26, 1979"	"1979/09/26"	89.52	62.39	86.92
	"Sep 27, 1979"	"1979/09/27"	90.99	63.43	88.44
	"Sep 28, 1979"	"1979/09/28"	93.15	64.64	90.56
	"Sep 29, 1979"	"1979/09/29"	93.79	66.64	91.23
	"Sep 30, 1979"	"1979/09/30"	93.31	66.77	90.54
	"Oct 01, 1979"	"1979/10/01"	93.46	65.35	90.91
	"Oct 02, 1979"	"1979/10/02"	90.76	63.53	87.85
	"Oct 03, 1979"	"1979/10/03"	89.83	62.23	90.94
	"Oct 04, 1979"	"1979/10/04"	80.40	57.24	81.38
	"Oct 05, 1979"	"1979/10/05"	88.97	55.87	85.87
	"Oct 06, 1979"	"1979/10/06"	90.99	61.88	88.19
	"Oct 07, 1979"	"1979/10/07"	94.61	63.16	91.83
	"Oct 08, 1979"	"1979/10/08"	94.52	65.54	92.78
	"Oct 09, 1979"	"1979/10/09"	82.86	57.15	89.88
	"Oct 10, 1979"	"1979/10/10"	75.31	49.73	79.84
	"Oct 11, 1979"	"1979/10/11"	90.02	55.13	86.78
	"Oct 12, 1979"	"1979/10/12"	92.64	61.38	90.48
	"Oct 13, 1979"	"1979/10/13"	82.51	60.85	88.59
	"Oct 14, 1979"	"1979/10/14"	82.32	59.17	85.61
	"Oct 15, 1979"	"1979/10/15"	87.13	61.31	87.06
	"Oct 16, 1979"	"1979/10/16"	90.49	64.39	89.92
	"Oct 17, 1979"	"1979/10/17"	86.91	65.23	88.71
	"Oct 18, 1979"	"1979/10/18"	87.90	64.44	87.40
	"Oct 19, 1979"	"1979/10/19"	89.42	64.26	89.51
	"Oct 20, 1979"	"1979/10/20"	90.64	65.98	90.89
	"Oct 21, 1979"	"1979/10/21"	88.96	65.11	91.59
	"Oct 22, 1979"	"1979/10/22"	75.29	52.27	85.20
	"Oct 23, 1979"	"1979/10/23"	73.17	47.86	78.75
	"Oct 24, 1979"	"1979/10/24"	77.79	49.34	79.31
	"Oct 25, 1979"	"1979/10/25"	79.38	51.99	79.71
	"Oct 26, 1979"	"1979/10/26"	83.35	52.58	82.62
	"Oct 27, 1979"	"1979/10/27"	83.88	56.66	84.74
	"Oct 28, 1979"	"1979/10/28"	81.69	57.84	85.19
	"Oct 29, 1979"	"1979/10/29"	84.95	58.06	86.23
	"Oct 30, 1979"	"1979/10/30"	76.99	55.22	88.50
	"Oct 31, 1979"	"1979/10/31"	66.43	47.24	79.58
	"Nov 01, 1979"	"1979/11/01"	63.07	42.88	79.75
	"Nov 02, 1979"	"1979/11/02"	66.11	42.54	Missing
	"Nov 03, 1979"	"1979/11/03"	67.47	44.65	Missing
	"Nov 04, 1979"	"1979/11/04"	71.80	45.04	79.25
	"Nov 05, 1979"	"1979/11/05"	74.60	51.46	83.91
	"Nov 06, 1979"	"1979/11/06"	62.85	45.32	82.04
	"Nov 07, 1979"	"1979/11/07"	65.09	44.09	Missing
	"Nov 08, 1979"	"1979/11/08"	75.12	50.86	83.45
	"Nov 09, 1979"	"1979/11/09"	70.16	50.84	83.18
	"Nov 10, 1979"	"1979/11/10"	55.59	42.93	Missing
	"Nov 11, 1979"	"1979/11/11"	61.77	39.16	Missing
	"Nov 12, 1979"	"1979/11/12"	60.64	39.41	Missing
	"Nov 13, 1979"	"1979/11/13"	61.12	39.57	Missing
	"Nov 14, 1979"	"1979/11/14"	62.71	38.77	Missing
	"Nov 15, 1979"	"1979/11/15"	65.79	40.82	Missing
	"Nov 16, 1979"	"1979/11/16"	69.03	45.29	Missing
	"Nov 17, 1979"	"1979/11/17"	68.48	47.02	80.30
	"Nov 18, 1979"	"1979/11/18"	76.20	53.44	83.11
	"Nov 19, 1979"	"1979/11/19"	78.42	56.15	84.52
	"Nov 20, 1979"	"1979/11/20"	77.18	60.36	85.78
	"Nov 21, 1979"	"1979/11/21"	65.55	44.60	86.36
	"Nov 22, 1979"	"1979/11/22"	51.19	35.63	Missing
	"Nov 23, 1979"	"1979/11/23"	57.30	31.76	Missing
	"Nov 24, 1979"	"1979/11/24"	57.68	38.82	Missing
	"Nov 25, 1979"	"1979/11/25"	66.16	39.01	Missing
	"Nov 26, 1979"	"1979/11/26"	72.23	43.76	80.27
	"Nov 27, 1979"	"1979/11/27"	71.05	45.42	83.33
	"Nov 28, 1979"	"1979/11/28"	51.84	32.84	Missing
	"Nov 29, 1979"	"1979/11/29"	46.18	27.08	Missing
	"Nov 30, 1979"	"1979/11/30"	47.47	26.99	Missing
	"Dec 01, 1979"	"1979/12/01"	54.25	29.74	Missing
	"Dec 02, 1979"	"1979/12/02"	54.30	32.89	Missing
	"Dec 03, 1979"	"1979/12/03"	61.69	33.77	Missing
	"Dec 04, 1979"	"1979/12/04"	65.95	41.06	Missing
	"Dec 05, 1979"	"1979/12/05"	70.88	41.77	79.70
	"Dec 06, 1979"	"1979/12/06"	62.77	40.72	Missing
	"Dec 07, 1979"	"1979/12/07"	67.99	40.26	Missing
	"Dec 08, 1979"	"1979/12/08"	64.29	40.63	Missing
	"Dec 09, 1979"	"1979/12/09"	68.95	41.45	79.92
	"Dec 10, 1979"	"1979/12/10"	74.98	47.08	82.75
	"Dec 11, 1979"	"1979/12/11"	73.62	49.95	84.07
	"Dec 12, 1979"	"1979/12/12"	56.25	38.39	84.15
	"Dec 13, 1979"	"1979/12/13"	47.44	36.96	Missing
	"Dec 14, 1979"	"1979/12/14"	48.25	38.15	Missing
	"Dec 15, 1979"	"1979/12/15"	54.08	38.09	Missing
	"Dec 16, 1979"	"1979/12/16"	53.71	30.56	Missing
	"Dec 17, 1979"	"1979/12/17"	41.40	24.64	Missing
	"Dec 18, 1979"	"1979/12/18"	55.90	28.07	Missing
	"Dec 19, 1979"	"1979/12/19"	64.83	38.87	Missing
	"Dec 20, 1979"	"1979/12/20"	68.71	46.97	Missing
	"Dec 21, 1979"	"1979/12/21"	69.91	53.42	82.46
	"Dec 22, 1979"	"1979/12/22"	70.84	53.32	83.44
	"Dec 23, 1979"	"1979/12/23"	62.84	45.72	83.83
	"Dec 24, 1979"	"1979/12/24"	58.63	39.91	Missing
	"Dec 25, 1979"	"1979/12/25"	64.43	39.13	Missing
	"Dec 26, 1979"	"1979/12/26"	67.61	43.83	Missing
	"Dec 27, 1979"	"1979/12/27"	64.67	47.81	81.88
	"Dec 28, 1979"	"1979/12/28"	57.98	46.03	Missing
	"Dec 29, 1979"	"1979/12/29"	52.18	41.50	Missing
	"Dec 30, 1979"	"1979/12/30"	51.77	38.63	Missing
	"Dec 31, 1979"	"1979/12/31"	51.77	36.01	Missing
	"Jan 01, 1980"	"1980/01/01"	60.22	36.55	Missing
	"Jan 02, 1980"	"1980/01/02"	62.73	40.71	80.30
	"Jan 03, 1980"	"1980/01/03"	53.06	36.33	Missing
	"Jan 04, 1980"	"1980/01/04"	55.68	32.37	Missing
	"Jan 05, 1980"	"1980/01/05"	59.98	37.21	Missing
	"Jan 06, 1980"	"1980/01/06"	69.42	40.54	80.80
	"Jan 07, 1980"	"1980/01/07"	55.00	37.41	81.45
	"Jan 08, 1980"	"1980/01/08"	58.47	36.18	82.00
	"Jan 09, 1980"	"1980/01/09"	61.57	39.07	Missing
	"Jan 10, 1980"	"1980/01/10"	70.53	44.81	83.39
	"Jan 11, 1980"	"1980/01/11"	62.56	45.15	80.74
	"Jan 12, 1980"	"1980/01/12"	54.19	40.15	Missing
	"Jan 13, 1980"	"1980/01/13"	69.69	39.59	Missing
	"Jan 14, 1980"	"1980/01/14"	74.64	49.63	80.47
	"Jan 15, 1980"	"1980/01/15"	73.58	52.54	83.39
	"Jan 16, 1980"	"1980/01/16"	70.73	52.06	83.46
	"Jan 17, 1980"	"1980/01/17"	68.25	51.10	82.10
	"Jan 18, 1980"	"1980/01/18"	70.97	48.53	81.93
	"Jan 19, 1980"	"1980/01/19"	70.25	48.20	84.99
	"Jan 20, 1980"	"1980/01/20"	57.83	47.37	84.86
	"Jan 21, 1980"	"1980/01/21"	57.18	43.90	82.27
	"Jan 22, 1980"	"1980/01/22"	50.64	36.74	81.50
	"Jan 23, 1980"	"1980/01/23"	53.11	32.60	Missing
	"Jan 24, 1980"	"1980/01/24"	62.71	35.15	Missing
	"Jan 25, 1980"	"1980/01/25"	61.13	43.77	Missing
	"Jan 26, 1980"	"1980/01/26"	59.07	39.37	80.29
	"Jan 27, 1980"	"1980/01/27"	48.40	33.42	Missing
	"Jan 28, 1980"	"1980/01/28"	52.90	35.52	80.71
	"Jan 29, 1980"	"1980/01/29"	48.80	34.60	82.21
	"Jan 30, 1980"	"1980/01/30"	59.41	36.73	82.44
	"Jan 31, 1980"	"1980/01/31"	42.51	28.36	Missing
	"Feb 01, 1980"	"1980/02/01"	41.86	27.72	Missing
	"Feb 02, 1980"	"1980/02/02"	52.19	33.51	Missing
	"Feb 03, 1980"	"1980/02/03"	60.38	38.04	Missing
	"Feb 04, 1980"	"1980/02/04"	65.96	39.39	78.65
	"Feb 05, 1980"	"1980/02/05"	63.14	42.90	80.75
